"Incident_ID","Responder_ID","ResponderUnit_ID","CodeToSc"
1102989,1,40,1
1102989,2,93,1
1102990,1,60,3
1102990,2,201,
1102991,1,212,
1102991,2,304,3
1102992,1,118,3
1102992,2,202,
1102993,1,38,3
1102993,2,120,3
1102993,3,211,
1102993,4,416,3
1102994,1,58,3
1102994,2,203,
1102995,1,119,3
1102995,2,208,
1102996,1,205,
1102996,2,478,3
1102997,1,40,3
1102997,2,204,
1102998,1,52,3
1102998,2,123,3
1102998,3,213,
1102999,1,36,3
1103000,1,45,3
1103000,2,117,3
1103001,1,40,3
1103001,2,201,
1103001,3,211,
1103002,1,30,3
1103002,2,56,3
1103003,1,114,3
1103003,2,116,3
1103003,3,217,
1103004,1,64,3
1103004,2,214,
1103005,1,34,3
1103005,2,210,
1103006,1,304,1
1103007,1,60,3
1103007,2,233,
1103008,1,30,3
1103008,2,116,3
1103008,3,208,
1103009,1,38,3
1103009,2,202,
1103010,1,228,
1103010,2,478,3
1103011,1,38,3
1103011,2,124,3
1103011,3,205,
1103011,4,1584,
1103012,1,58,3
1103012,2,238,
1103013,1,110,3
1103013,2,201,
1103014,1,42,3
1103014,2,209,
1103015,1,62,3
1103015,2,123,3
1103016,1,40,1
1103017,1,32,3
1103017,2,38,3
1103017,3,233,
1103018,1,30,3
1103018,2,212,
1103018,3,304,3
1103019,1,56,3
1103020,1,39,3
1103020,2,118,1
1103020,3,118,3
1103020,4,478,3
1103020,5,1559,
1103021,1,1559,
1103022,1,120,3
1103022,2,207,
1103023,1,79,3
1103023,2,211,
1103023,3,211,
1103024,1,46,1
1103025,1,117,1
1103025,2,217,
1103026,1,33,3
1103026,2,117,3
1103026,3,212,
1103027,1,124,3
1103027,2,202,
1103028,1,61,3
1103028,2,204,
1103029,1,206,
1103029,2,404,3
1103030,1,30,3
1103030,2,208,
1103031,1,110,3
1103031,2,203,
1103032,1,114,3
1103032,2,213,
1103033,1,51,3
1103033,2,210,
1103033,3,213,
1103034,1,120,3
1103034,2,235,
1103035,1,116,3
1103035,2,216,
1103036,1,201,
1103036,2,478,3
1103037,1,32,3
1103037,2,237,
1103038,1,114,3
1103038,2,210,
1103039,1,116,3
1103039,2,217,
1103040,1,38,1
1103041,1,56,3
1103042,1,478,1
1103043,1,110,3
1103043,2,204,
1103044,1,79,3
1103044,2,207,
1103045,1,58,3
1103045,2,211,
1103046,1,238,
1103046,2,428,3
1103047,1,60,3
1103047,2,71,
1103047,3,202,
1103048,1,56,3
1103049,1,116,3
1103049,2,206,
1103050,1,230,
1103050,2,416,3
1103051,1,46,3
1103051,2,203,
1103052,1,114,3
1103052,2,217,
1103053,1,58,3
1103053,2,201,
1103054,1,237,
1103054,2,478,3
1103055,1,61,3
1103055,2,235,
1103056,1,127,3
1103056,2,212,
1103057,1,61,3
1103057,2,204,
1103058,1,118,3
1103058,2,210,
1103059,1,40,3
1103059,2,207,
1103060,1,58,3
1103060,2,201,
1103061,1,33,3
1103061,2,56,3
1103061,3,213,
1103062,1,35,1
1103063,1,12,3
1103063,2,42,3
1103063,3,51,3
1103063,4,119,3
1103063,5,212,
1103064,1,117,1
1103065,1,33,3
1103065,2,205,
1103066,1,36,1
1103066,2,203,
1103067,1,38,3
1103067,2,230,
1103068,1,478,3
1103069,1,60,3
1103069,2,238,
1103070,1,30,3
1103070,2,235,
1103071,1,62,3
1103071,2,207,
1103072,1,116,3
1103072,2,218,
1103073,1,64,3
1103073,2,206,
1103073,3,207,
1103074,1,237,
1103074,2,428,3
1103075,1,32,3
1103075,2,208,
1103076,1,46,3
1103076,2,202,
1103077,1,201,
1103077,2,478,3
1103078,1,30,3
1103078,2,207,
1103079,1,79,3
1103079,2,202,
1103080,1,62,1
1103081,1,203,
1103081,2,486,
1103082,1,33,3
1103082,2,231,
1103083,1,201,
1103083,2,428,3
1103084,1,79,3
1103084,2,213,
1103085,1,34,3
1103086,1,30,3
1103086,2,209,
1103087,1,46,3
1103088,1,34,3
1103088,2,45,3
1103088,3,235,
1103089,1,64,3
1103089,2,206,
1103090,1,61,3
1103090,2,234,
1103091,1,127,3
1103091,2,212,
1103092,1,123,3
1103092,2,209,
1103093,1,1561,
1103094,1,58,3
1103094,2,230,
1103095,1,117,1
1103095,2,478,3
1103096,1,62,3
1103096,2,218,
1103097,1,211,
1103097,2,428,3
1103098,1,79,3
1103098,2,208,
1103098,3,237,
1103099,1,32,3
1103099,2,216,
1103099,3,232,
1103099,4,238,
1103100,1,38,3
1103100,2,203,
1103100,3,428,3
1103101,1,36,1
1103101,2,127,3
1103102,1,486,
1103103,1,39,3
1103103,2,118,3
1103103,3,204,
1103104,1,32,1
1103105,1,1561,
1103106,1,38,3
1103106,2,231,
1103107,1,120,3
1103107,2,232,
1103108,1,56,3
1103108,2,123,3
1103108,3,220,
1103108,4,304,3
1103109,1,38,3
1103109,2,210,
1103109,3,211,
1103110,1,40,3
1103110,2,218,
1103111,1,117,3
1103111,2,221,
1103112,1,61,3
1103112,2,232,
1103113,1,116,3
1103113,2,206,
1103114,1,33,3
1103115,1,12,3
1103115,2,34,3
1103115,3,36,3
1103115,4,45,3
1103115,5,127,3
1103115,6,209,
1103115,7,212,
1103115,8,1597,3
1103115,9,209,
1103115,10,114,3
1103116,1,59,3
1103116,2,221,
1103117,1,32,3
1103117,2,230,
1103117,3,222,
1103118,1,212,
1103118,2,478,3
