"ResponderUnit_ID","Description","ID_911","Station_ID","TranslateTo","Agency_ID","Process","VersaTerm"
1,"AU40                                              ","AU40  ",40,"E40                                               ",,0,"AU40      "
2,"AU8                                               ","AU8   ",26,"                                                  ",,1,"AU8       "
3,"AU9                                               ","AU9   ",9,"                                                  ",,1,"AU9       "
4,"BU22                                              ","BU22  ",22,,,1,"BU22      "
5,"BU66                                              ","BU66  ",,,21,,"BU66      "
6,"BU75                                              ","BU75  ",,,3,,"BU75      "
7,"C01                                               ","C1    ",101,,,1,"C1        "
8,"C102                                              ","C102  ",105,"                                                  ",,1,"C102      "
9,"C103                                              ","C103  ",100,"C00                                               ",,1,"C103      "
10,"C105                                              ","C105  ",327,"                                                  ",,1,"C105      "
11,"C107                                              ","C107  ",,,,,"C107      "
12,"C02                                               ","C2    ",102,,,1,"C2        "
13,"C03                                               ","C3    ",103,,,1,"C3        "
14,"C30                                               ","C30   ",,,22,,"C30       "
15,"C04                                               ","C4    ",104,,,1,"C4        "
16,"C600                                              ","C600  ",,,21,,"C600      "
17,"C601                                              ","C601  ",,,21,,"C601      "
18,"C602                                              ","C602  ",,,21,,"C602      "
19,"C603                                              ","C603  ",,,21,,"C603      "
20,"C700                                              ","C700  ",,,3,,"C700      "
21,"C701                                              ","C701  ",,,3,,"C701      "
22,"C702                                              ","C702  ",,,3,,"C702      "
23,"C703                                              ","C703  ",,,3,,"C703      "
24,"CC21                                              ","CC21  ",,,7,,"CC21      "
25,"CC22                                              ","CC22  ",,,7,,"CC22      "
26,"CV07                                              ","CV7   ",7,"                                                  ",,1,"CV7       "
27,"D30                                               ","D30   ",,,22,,"D30       "
28,"DC23                                              ","DC23  ",23,,,1,"DC23      "
29,"DV1                                               ","DV1   ",1,,,1,"DV1       "
30,"E01                                               ","E1    ",1,,,1,"E1        "
31,"E10                                               ","E10   ",10,,,1,"E10       "
32,"E11                                               ","E11   ",11,,,1,"E11       "
33,"E13                                               ","E13   ",13,,,1,"E13       "
34,"E14                                               ","E14   ",14,,,1,"E14       "
35,"E15                                               ","E15   ",15,,,1,"E15       "
36,"E17                                               ","E17   ",17,,,1,"E17       "
37,"E18                                               ","E18   ",18,,,1,"E18       "
38,"E19                                               ","E19   ",19,,,1,"E19       "
39,"E02                                               ","E2    ",2,,,1,"E2        "
40,"E20                                               ","E20   ",20,,,1,"E20       "
41,"E210                                              ","E210  ",,,17,,"E210      "
42,"E22                                               ","E22   ",22,,,1,"E22       "
43,"E221                                              ","E221  ",,,17,,"E221      "
44,"E23                                               ","E23   ",23,,,1,"E23       "
45,"E24                                               ","E24   ",24,,,1,"E24       "
46,"E25                                               ","E25   ",25,,,1,"E25       "
47,"E250                                              ","E250  ",,,17,,"E250      "
48,"E251                                              ","E251  ",,,17,,"E251      "
49,"E253                                              ","E253  ",,,17,,"E253      "
50,"E255                                              ","E255  ",,,17,,"E255      "
51,"E26                                               ","E26   ",26,,,1,"E26       "
52,"E03                                               ","E3    ",3,,,1,"E3        "
53,"E32                                               ","E32   ",,,22,,"E32       "
54,"E33                                               ","E33   ",,,22,,"E33       "
55,"E34                                               ","E34   ",,,22,,"E34       "
56,"E04                                               ","E4    ",4,,,1,"E4        "
57,"E40                                               ","E40   ",40,"                                                  ",,0,"E40       "
58,"E07                                               ","E7    ",7,"                                                  ",,1,"E7        "
59,"E29                                               ","E29   ",29,,,1,"E29       "
60,"E30                                               ","E30   ",30,"                                                  ",,1,"E30       "
61,"E31                                               ","E31   ",31,"E31                                               ",,1,"E31       "
62,"E05                                               ","E5    ",5,,,1,"E5        "
63,"E555                                              ","E555  ",,,23,,"E555      "
64,"E06                                               ","E6    ",6,,,1,"E6        "
