"Station_ID","Description"
1,"01                                                "
2,"02                                                "
3,"03                                                "
4,"04                                                "
5,"05                                                "
6,"06                                                "
7,"07                                                "
8,"08                                                "
9,"09                                                "
10,"10                                                "
11,"11                                                "
12,"12                                                "
13,"13                                                "
14,"14                                                "
15,"15                                                "
16,"16                                                "
17,"17                                                "
18,"18                                                "
19,"19                                                "
20,"20                                                "
21,"21                                                "
22,"22                                                "
23,"23                                                "
24,"24                                                "
25,"25                                                "
26,"26                                                "
27,"27                                                "
28,"28                                                "
29,"29                                                "
30,"30                                                "
31,"31                                                "
40,"40                                                "
41,"41                                                "
42,"42                                                "
43,"43                                                "
45,"45                                                "
100,"C103                                              "
101,"C01                                               "
102,"C02                                               "
103,"C03                                               "
104,"C04                                               "
105,"C102                                              "
200,"EMS                                               "
210,"LIAISON                                           "
220,"LIAISON TRAINING                                  "
230,"INVESTIGATOR/INSPECTOR                            "
240,"DISPATCH INFORMATION                              "
250,"HARBOR MASTER                                     "
300,"PIO                                               "
301,"C300                                              "
310,"TIP                                               "
320,"HM421                                             "
321,"HM121                                             "
322,"C405                                              "
323,"TRAINING STAFF                                    "
324,"C400                                              "
325,"C110                                              "
326,"C104                                              "
327,"C105                                              "
328,"HC458                                             "
500,"C500                                              "
